"Familia","Metodo","Rota","Resumo","Descricao","Tags","OperationId","Parametros"
"acordo","POST","/api/acordo/auth","Médoto de autenticação. Chame este médoto duas vezes. Na primeira informe apenas o Cpf e receberá o JSON { ""codigo"": """", ""two_factor_auth"": true, ""tipo_codigo_acesso"": """", ""codigo_acesso_descricao"": """", ""telefone_truncado"": """", ""seqpessoa"": 0 } como resposta. Peça ao usuário o código e depois chame este método informando o Cpf e o código de acesso.","","Acordo","Acordo_fAuth","bodyRequest [body]*; Authorization [header]"
"acordo","POST","/api/acordo/boleto/get","Método para realizar o download do pdf com os boletos do acordo","","Acordo","Acordo_fBoletoGet","bodyRequest [body]*; Authorization [header]"
"acordo","POST","/api/acordo/get","Método para retornar os acordos.","","Acordo","Acordo_fAcordoGet","bodyRequest [body]*; Authorization [header]"
"acordo","GET","/api/acordo/nroprocesso","Gera um novo número de processo","","Acordo","Acordo_fNroProcessoGet","Authorization [header]"
"ApiInfo","GET","/api/ApiInfo","","","ApiInfo","ApiInfo_InfoGet","Authorization [header]"
"ativmob","POST","/api/ativmob/event","End-Point para recebimento de eventos de rastreio provenientes da Ativmob","","Ativmob","Ativmob_Event","voEvento [body]*; Authorization [header]"
"cartao","POST","/api/cartao/analisecredito","Realiza análise de crédito. Será gerado um evento com a origem ""NEUROTECH"" e o código do evento será o valor do campo Resultado devolvido pela Neurotech.","","Cartao","Cartao_fAnaliseCredito","Authorization [header]"
"cartao","POST","/api/cartao/auth","Inicializa o processo do fluxo da solicitação da proposta de cartão. Este é o primeiro método que deve ser chamado e é onde o token será gerado para utilizar nos demais métodos","","Cartao","Cartao_fAuth","data [body]*; Authorization [header]"
"cartao","POST","/api/cartao/celular/validcheck/{numero}/{codigo}","Valida o código enviado por SMS para o número de celular informado. Será gerado um evento com a origem ""CARTAO"" e os possíveis código do evento são: ""CELULAR VALIDADO"", ""CELULAR NAO VALIDADO""","","Cartao","Cartao_fValidaCelularCheck","numero [path]*; codigo [path]*; Authorization [header]"
"cartao","POST","/api/cartao/celular/validsend/{numero}","Envia um código via SMS para validar o número do celular. Será gerado um evento com a origem CARTAO e o código de evento CELULAR EM VALIDACAO","","Cartao","Cartao_fValidaCelularSend","numero [path]*; Authorization [header]"
"cartao","POST","/api/cartao/certiface/captcha","Envia os desafios e obtem o resultado. Será gerado um evento com a origem ""CERTIFACE"" e os possíveis código do evento são: ""BIOMETRIA APROVADA"", ""BIOMETRIA NEGADA"" e no resultado complementar o valor do campo codID devolvido pela Certiface","","Cartao","Cartao_fCertifaceCaptchaPost","data [body]*; Authorization [header]"
"cartao","POST","/api/cartao/certiface/challenge","Obtem os desafios da prova de vida.","","Cartao","Cartao_fCertifaceChallengeGet","data [body]*; Authorization [header]"
"cartao","POST","/api/cartao/codigovalidacaocheck/{subcontexto}/{codigo}","Valida um código enviado ao celular","","Cartao","Cartao_fCodigoValidacaoCheck","subcontexto [path]*; codigo [path]*; Authorization [header]"
"cartao","POST","/api/cartao/codigovalidacaosend/{subcontexto}","Envia um código de validação para o celular informado para validar o contexto informado no parâmetro psSubContexto","","Cartao","Cartao_fCodigoValidacaoSend","subcontexto [path]*; Authorization [header]"
"cartao","POST","/api/cartao/conductor/cadexiste","Verifica se o cadastro de um Cpf já existe na Conductor. Será gerado evento com a origem ""CONDUCTOR"" e os possíveis código do evento são: ""CADASTRO_EXISTE"", ""CADASTRO_NAO_EXISTE""","","Cartao","Cartao_fConductorExiste","Authorization [header]"
