"SeqFormulario","Questao","Descricao","NroReferencia","DescReduzida","Nomecoluna","Grupo","TipoDado","NumMinimo","NumMaximo","Peso","ProximaQuestao","Script","Tamanho","Prefixoresposta","Permitepeso","EmUso","ExigeResposta","QTDEDECIMAL"
"7","1","Estado Geral","001","Estado Geral","ESTADO_GERAL","","M","","","1,00","2","Estado Geral do Equipamento","20","","","1","",""
"7","2","Lataria e Pintura","002","Lataria e Pintura","LATARIA_E_PINTURA","","M","","","1,00","3","Estado geral da Lataria e Pintura","20","","","1","",""
"7","3","Motor Funcionamento","003","Motor Funcionamento","MOTOR_FUNCIONAMENTO","","M","","","1,00","4","Estado geral do funiconamento do Motor","20","","","1","",""
"7","4","Motor - Vazamentos - Água/Óleo/Combustível","004","Motor - Vazamentos","MOTOR___VAZAMENTOS","","M","","","1,00","5","Determina o grau de vazamentos no Motor","20","","","1","",""
"7","5","Parte Elétrica Funcionamento Geral e Estado","005","Parte Elétrica Funcionamento","PARTE_ELETRICA_FUNCI","","M","","","1,00","6","Determina o estado geral da Parte Elétrica","20","","","1","",""
"7","6","Parte Elétrica - Bateria e Partida","006","Parte Elétrica - Bat e Partida","PARTE_ELETRICA___BAT","","M","","","1,00","7","Estado geral da Bateria e Partida","20","","","1","",""
"7","7","Painel de Instrumentos","007","Painel de Instrumentos","PAINEL_DE_INSTRUMENT","","M","","","1,00","8","Estado geral do Painel de Instrumentos","20","","","1","",""
"7","8","Transmissão - Funcionamento e Vazamentos","008","Transmissão - Funcion e Vazam","TRANSMISSAO___FUNCIO","","M","","","1,00","9","Determina se existe vazamentos na transimissão e o estado de funcionamento da mesma","20","","","1","",""
"7","9","Plataforma de Corte para Grãos - Tamanho/Pés","009","Plataf Corte Grãos","PLATAF_CORTE_GRAOS","","C","","","1,00","10","Determina o Tamanho e os Pés da Plataforma de Corte para Grãos","30","","","1","",""
"7","10","Plataforma de Corte para Grãos - Série","010","Plataf Corte Grãos - Série","PLATAF_CORTE_GRA_SER","","C","","","1,00","12","Determina a Séria da Plataforma de Corte para Grãos","30","","","1","",""
