"Tipo","SeqMain","SeqSub","Sql","Sessao"
"GLBPAR","5","1","SELECT modelo
 FROM LINXMAQ.cxmodelo",""
"GLBPAR","7","1","SELECT DISTINCT LITERAL1
FROM IV_GLOBALPAR GP 
WHERE GP.SEQGLBPAR = 9400
ORDER BY 1",""
"GLBPAR","12","1","SELECT NomeReduzido
FROM GE_EMPRESA
ORDER BY 1",""
"GLBPAR","12","2","SELECT DISTINCT CodUsuario 
FROM GE_Usuario
WHERE TipoUsuario = 'U'
AND Nivel > 0
--AND CodUsuario NOT IN ('VTCCONS', 'VTCSDESK', 'VTCSUPER')
ORDER BY 1",""
"GLBPAR","12","3","SELECT DISTINCT CodUsuario 
FROM GE_Usuario
WHERE TipoUsuario = 'U'
AND Nivel > 0
--AND CodUsuario NOT IN ('VTCCONS', 'VTCSDESK', 'VTCSUPER')
ORDER BY 1",""
"GLBPAR","14","1","SELECT DISTINCT LITERAL1
FROM IV_GLOBALPAR GP 
WHERE GP.SEQGLBPAR = 9400
ORDER BY 1",""
"GLBPAR","14","2","SELECT DISTINCT LITERAL1
FROM IV_GLOBALPAR GP 
WHERE GP.SEQGLBPAR = 9402 
ORDER BY 1",""
"GLBPAR","23","1","SELECT CARTEIRA FROM IVS_CARTEIRA ORDER BY CARTEIRA",""
"GLBPAR","29","1","SELECT DISTINCT DEPTO
FROM IVS_DEPTO
ORDER BY DEPTO",""
"GLBPAR","29","2","SELECT DISTINCT POTENCIAL
FROM IVS_DEPTOPOT
ORDER BY POTENCIAL",""
"GLBPAR","32","2","select Propriedade 
from IV_Propriedade
where Propriedade not like 'NO-%'
order by Propriedade
",""
"GLBPAR","9401","1","SELECT DISTINCT LITERAL1
FROM IV_GLOBALPAR GP 
WHERE GP.SEQGLBPAR = 9400
ORDER BY 1",""
"GLBPAR","9401","2","SELECT DISTINCT LITERAL1
FROM IV_GLOBALPAR GP 
WHERE GP.SEQGLBPAR = 9402 
ORDER BY 1",""
"GLBPAR","9401","6","SELECT DISTINCT LISTA 
FROM IV_GLOBALPARLISTA GP 
WHERE GP.SEQGLBPAR = 9401
ORDER BY 1",""
"GLBPAR","9404","1","SELECT DISTINCT LITERAL1
FROM IV_GLOBALPAR GP 
WHERE GP.SEQGLBPAR = 9400
ORDER BY 1",""
"GLBPAR","9405","1","SELECT DISTINCT LITERAL1
FROM IV_GLOBALPAR GP 
WHERE GP.SEQGLBPAR = 9400
ORDER BY 1",""
"GLBPAR","9405","6","SELECT LITERAL1 AS ANO FROM IV_GLOBALPAR
WHERE SEQGLBPAR = 30
ORDER BY LITERAL1",""
"GLBPAR","9406","1","SELECT DISTINCT LITERAL1
FROM IV_GLOBALPAR GP 
WHERE GP.SEQGLBPAR = 9400
 AND GP.SIMNAO4 = 1
ORDER BY 1",""
"GLBPAR","9406","6","SELECT LITERAL1 AS ANO FROM IV_GLOBALPAR
WHERE SEQGLBPAR = 30
ORDER BY LITERAL1",""
"GLBPAR","9407","1","SELECT DISTINCT LITERAL1
FROM IV_GLOBALPAR GP 
WHERE GP.SEQGLBPAR = 9400
ORDER BY 1",""
"GLBPAR","9407","6","SELECT LITERAL1 AS ANO FROM IV_GLOBALPAR
WHERE SEQGLBPAR = 30
ORDER BY LITERAL1",""
"GLBPAR","9408","1","SELECT DISTINCT LITERAL1
FROM IV_GLOBALPAR GP 
WHERE GP.SEQGLBPAR = 9400
ORDER BY 1",""
"GLBPAR","9409","1","SELECT DISTINCT LITERAL1
FROM IV_GLOBALPAR GP 
WHERE GP.SEQGLBPAR = 9400
ORDER BY 1",""
"GLBPAR","9410","1","SELECT DISTINCT LITERAL1
FROM IV_GLOBALPAR GP 
WHERE GP.SEQGLBPAR = 9400
ORDER BY 1",""
"GLBPAR","9411","1","SELECT DISTINCT LITERAL1
FROM IV_GLOBALPAR GP 
WHERE GP.SEQGLBPAR = 9400
ORDER BY 1",""
"GLBPAR","9411","6","SELECT LITERAL1 AS ANO FROM IV_GLOBALPAR
WHERE SEQGLBPAR = 30
ORDER BY LITERAL1",""
"GLBPAR","9412","1","SELECT DISTINCT LITERAL1
FROM IV_GLOBALPAR GP 
WHERE GP.SEQGLBPAR = 9400
ORDER BY 1",""
"GLBPAR","9416","1","SELECT DISTINCT LITERAL1
FROM IV_GLOBALPAR GP 
WHERE GP.SEQGLBPAR = 9400
ORDER BY 1",""
"PROPRIED","5","0","SELECT DISTINCT GPAR.CAMPO1
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9401
ORDER BY 1",""
"PROPRIED","5","1","SELECT DISTINCT GPAR.CAMPO1
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9401
ORDER BY 1",""
"PROPRIED","6","0","SELECT DISTINCT LITERAL1
FROM IV_GLOBALPAR GP 
WHERE GP.SEQGLBPAR = 9400
AND LITERAL1 IN ('Manitou', 'Mustang', 'Outros')
ORDER BY 1",""
"PROPRIED","6","1","SELECT DISTINCT SUBSTRING(GPAR.LITERAL2, 1, 30)
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 7
AND GPAR.CAMPO1 = :lbsReferencia
AND GPAR.SIMNAO1 = 1
ORDER BY 1",""
"PROPRIED","6","2","SELECT DISTINCT GPAR.LITERAL1
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 7
AND GPAR.CAMPO1 = :lbsReferencia
AND GPAR.LITERAL2 = :lbsCampo1
AND GPAR.SIMNAO1 = 1
ORDER BY 1",""
"PROPRIED","6","6","SELECT GLIST.LISTA
FROM IV_GLOBALPARLISTA GLIST
WHERE GLIST.SEQGLBPAR = 9414
ORDER BY 1",""
"PROPRIED","16","0","SELECT DISTINCT LITERAL1
FROM IV_GLOBALPAR GP 
WHERE GP.SEQGLBPAR = 9400
AND LITERAL1 IN ('Manitou', 'Mustang', 'Outros')
ORDER BY 1",""
"PROPRIED","16","1","SELECT DISTINCT SUBSTRING(GPAR.LITERAL2, 1, 30)
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 7
AND GPAR.CAMPO1 = :lbsReferencia
AND GPAR.SIMNAO1 = 1
ORDER BY 1",""
"PROPRIED","16","2","SELECT DISTINCT GPAR.LITERAL1
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 7
AND GPAR.CAMPO1 = :lbsReferencia
AND GPAR.LITERAL2 = :lbsCampo1
AND GPAR.SIMNAO1 = 1
ORDER BY 1",""
"PROPRIED","16","6","SELECT GLIST.LISTA
FROM IV_GLOBALPARLISTA GLIST
WHERE GLIST.SEQGLBPAR = 9414
ORDER BY 1",""
"PROPRIED","18","33","SELECT DISTINCT GPAR.LITERAL1
FROM IV_GLOBALPAR GPAR
ORDER BY 1",""
"PROPRIED","18","35","select NOME from GE_Usuario
where TipoUsuario = 'U'
AND NIVEL = '3'
ORDER BY NOME",""
"PROPRIED","9400","0","SELECT DISTINCT GPAR.CAMPO2
FROM IV_GLOBALPAR GPAR
WHERE GPAR.SEQGLBPAR = 9403
ORDER BY GPAR.CAMPO2",""
